material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements
mp-555269,Ag3SbS3,0.0,1.5142,5.802740886522704,619.9007608841648,Monoclinic,"Ag, S, Sb"
mp-1214902,Ag3SbTe4,0.08913716859374901,0.0,7.401268060763414,214.43412719868712,Cubic,"Ag, Sb, Te"
mp-1183249,Ag3Se,0.07060601083333301,0.0,8.76189601499747,152.58666480085938,Hexagonal,"Ag, Se"
mp-611,Ag3Sn,0.013177481250000001,0.0,9.740192817095668,150.81440107395323,Orthorhombic,"Ag, Sn"
mp-17568,Ag3Sn2(GeP2)3,0.0,0.21549999999999903,5.340445307762437,599.9749833483756,Cubic,"Ag, Ge, P, Sn"
mp-29849,Ag3SnP7,0.0,0.5034000000000001,4.972162214217336,440.2562180219747,Monoclinic,"Ag, P, Sn"
mp-5710,Ag3Te2Au,0.0,0.17250000000000001,9.002915200236917,572.347202751638,Cubic,"Ag, Au, Te"
mp-1229219,Ag3Te32Au13,0.004225167656265,0.0,8.29889977394239,1394.1113143458404,Monoclinic,"Ag, Au, Te"
mp-684006,Ag3TeIO4,0.006436502777776001,0.6233000000000001,6.556344524294626,1951.5323635146779,Monoclinic,"Ag, I, O, Te"
mp-28996,Ag4Bi2O5,0.022976319499999003,1.7207999999999992,8.05844137242436,766.0815533260688,Orthorhombic,"Ag, Bi, O"
mp-560342,Ag4GeO4,0.03618953111111,0.0,6.829465369294989,552.5290559832723,Triclinic,"Ag, Ge, O"
mp-1229155,Ag4Hg4S4BrCl3,0.0,1.599399999999999,6.10800835172548,420.9400424559624,Triclinic,"Ag, Br, Cl, Hg, S"
mp-1229204,Ag4Hg5S5IBrCl2,0.0069869338888890005,0.868699999999999,6.414661908299147,969.434334815613,Monoclinic,"Ag, Br, Cl, Hg, I, S"
mp-542199,Ag4HgGe2S7,0.0022926350000000003,0.463099999999999,5.043673354156452,659.6479458222789,Monoclinic,"Ag, Ge, Hg, S"
mp-558550,Ag4Mo2Se3O16,0.0,1.7787000000000002,4.923147149080397,1505.9734552045547,Orthorhombic,"Ag, Mo, O, Se"
mp-27482,Ag4P2S7,0.0065854319230790005,1.6556000000000002,4.118411402268162,578.8931235930537,Monoclinic,"Ag, P, S"
mp-553924,Ag4PIO4,0.0,0.9546000000000001,6.266635514977661,692.4997791575145,Monoclinic,"Ag, I, O, P"
mp-556570,Ag4Se(IO2)2,0.018528162954542002,1.2752,5.988887808779095,918.5837667881615,Orthorhombic,"Ag, I, O, Se"
mp-1229187,Ag4Sn2(HgSe3)3,0.017304647777777002,0.403499999999999,6.163396721994734,533.8015465438308,Triclinic,"Ag, Hg, Se, Sn"
mp-1195808,Ag4Sn3S8,0.007910371833334,0.22930000000000003,5.344248886654139,1297.6990679139262,Cubic,"Ag, S, Sn"
mp-1182984,Ag4Te(PO7)2,0.06318421603174501,0.08070000000000001,4.80588041656765,583.9410014063459,Monoclinic,"Ag, O, P, Te"
mp-554357,Ag4TeO5,0.0,0.0041999999999990005,7.757987894218503,547.1523718025333,Monoclinic,"Ag, O, Te"
mp-1199607,Ag4TeSO4,0.0,0.6883,6.023163941035384,722.4627695759586,Cubic,"Ag, O, S, Te"
mp-22286,Ag5(PbO3)2,0.0,0.0,8.774490532310642,198.65882309090384,Trigonal,"Ag, O, Pb"
mp-555565,Ag5(PbO3)2,0.00015785461538400002,0.0,8.378068551580496,208.0586893792215,Trigonal,"Ag, O, Pb"
mp-530464,Ag5(Sn3S8)2,0.026250193622685002,0.0,4.738482724984103,1236.790546296197,Orthorhombic,"Ag, S, Sn"
mp-1247859,Ag5Au3S4,0.024723359444447,0.9308999999999991,7.346254701665375,284.4700700131552,Triclinic,"Ag, Au, S"
mp-1247860,Ag5Au3S4,0.07933439361111601,1.0997,6.420473009132528,325.4884159383098,Triclinic,"Ag, Au, S"
mp-28812,Ag5BiO4,0.0,1.5002,8.20077131927059,657.9319829937269,Monoclinic,"Ag, Bi, O"
mp-5563,Ag5GeO4,0.020922968083331002,0.7290999999999991,7.707218325841522,582.5649805310345,Monoclinic,"Ag, Ge, O"
mp-568540,Ag5Hg4P8Cl5,0.0,0.9788000000000001,5.809155511485511,505.02478591961113,Monoclinic,"Ag, Cl, Hg, P"
mp-1194068,Ag5HgSbO6,0.0,0.0,8.008612610108194,397.14178190699033,Trigonal,"Ag, Hg, O, Sb"
mp-554648,Ag5IO6,0.008831117500000001,0.0205,7.3703156290577745,343.4676252786343,Trigonal,"Ag, I, O"
mp-559847,Ag5P(S2Cl)2,0.0,1.2689,4.792626948079725,266.6080377505904,Orthorhombic,"Ag, Cl, P, S"
mp-1191916,Ag5PSeO4,0.0,0.30759999999999904,6.59295935333068,359.29741372626694,Tetragonal,"Ag, O, P, Se"
mp-1229311,Ag5Sb23(PbS4)12,0.022902252518935,0.0,5.39052782763443,2268.8754905654373,Triclinic,"Ag, Pb, S, Sb"
mp-4004,Ag5SbS4,0.015285038999998002,0.5945,5.893921663282094,444.7852730436628,Orthorhombic,"Ag, S, Sb"
mp-1215016,Ag5Te2Br,0.0008414449999990001,0.20789999999999903,7.3913948240930445,1571.611441304609,Orthorhombic,"Ag, Br, Te"
