material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements,avg_atomic_number,avg_electronegativity,avg_atomic_radius,avg_atomic_mass,num_elements,stability_raw,band_gap_raw,density_raw,final_score,stability_score,band_gap_score,density_score,rag_status
mp-562065,PO2,0.021671800857143,4.5183,2.499574783534377,334.6758017042621,Monoclinic,"O, P",11.5,2.815,80.0,23.486380999,2,0.9787879034745197,4.5183,0.7499574783534377,0.8038885646732106,0.7655542836737865,0.90366,0.7500671141815861,Green
mp-612,PS,0.026489451484373,2.4974,2.065305843722483,405.47341626624575,Monoclinic,"P, S",15.5,2.385,100.0,31.516880999,2,0.9741941318090824,2.4974,0.7065305843722482,0.6485616916733353,0.7147818346870114,0.49948,0.7066338716491481,Amber
mp-1228795,AsP,0.083086605833333,0.0,4.494692209277933,39.12245319262876,Trigonal,"As, P",24.0,2.185,107.5,52.947678499,2,0.9232872003163535,0.0,0.9494692209277933,0.26598926841053827,0.15213532751852377,0.0,0.9496080232563818,Red
mp-1218948,SnP,0.0245162575,0.0,4.888076654824982,101.69878747351852,Trigonal,"P, Sn",32.5,2.075,122.5,74.841880999,2,0.9760704065742949,0.0,0.9888076654824982,0.5655500811345721,0.7355192747993851,0.0,0.9889522186743974,Amber
mp-7540,Cu3P,0.059430067187498,0.0,7.392194051428752,99.56312993378084,Trigonal,"Cu, P",22.0,2.045,117.5,47.259880999,2,0.9439037374639848,0.0,0.7607805948571248,0.3421776882573114,0.37999865135058286,0.0,0.7608918129100997,Red
mp-14012,Cu3P,0.026024493854166,0.0,7.492538115855721,294.6891822734753,Trigonal,"Cu, P",22.0,2.045,117.5,47.259880999,2,0.9746356017716424,0.0,0.7507461884144279,0.5100017684294309,0.7196611610414134,0.0,0.750855939543621,Amber
mp-359,Cu3P,0.068513934062499,0.0,7.367040864827103,299.70920088905825,Trigonal,"Cu, P",22.0,2.045,117.5,47.259880999,2,0.9358792320077582,0.0,0.7632959135172898,0.2983355877194166,0.29130817572556467,0.0,0.7634074992831714,Red
mp-28395,B6P,0.0,2.4757,2.6073925513727563,122.07265749137632,Trigonal,"B, P",10.0,2.115,92.5,20.891880999,2,1.0,2.4757,0.7607392551372756,0.8007120934293643,1.0,0.49513999999999997,0.7608504671468219,Green
mp-27529,PI3,0.0,2.2746,3.905252359286758,350.1042029708565,Hexagonal,"I, P",34.0,2.425,120.0,78.939115999,2,1.0,2.2746,0.8905252359286758,0.8146070842543814,1.0,0.45492,0.8906554212719068,Green
mp-7463,Cu3P,0.025262583854166,0.0,7.509347797265637,294.02952028914564,Hexagonal,"Cu, P",22.0,2.045,117.5,47.259880999,2,0.9753598890157495,0.0,0.7490652202734364,0.5136681012960761,0.7276663123269849,0.0,0.7491747256629181,Amber
