material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements,avg_atomic_number,avg_electronegativity,avg_atomic_radius,avg_atomic_mass,num_elements
mp-1185593,Mg149P,0.0160183942,0.000299999999999,1.7656751270282771,3434.937689863417,Hexagonal,"Mg, P",13.5,1.75,125.0,27.639380999,2
mp-1187244,TaP,0.003252249999999,0.0,11.12875949461362,31.621149308630745,Hexagonal,"P, Ta",44.0,1.845,122.5,105.96082099899999,2
mp-219,MoP,0.0,0.0,7.308129077004535,28.837101489257638,Hexagonal,"Mo, P",28.5,2.175,122.5,63.461880999,2
mp-13446,Co2P,0.021158108611109,0.0,7.824430474983884,94.76276434363405,Hexagonal,"Co, P",21.0,2.035,117.5,44.953477999,2
mp-1345,CaP,0.0,0.3443,2.438949924979277,290.25005887179367,Hexagonal,"Ca, P",17.5,1.595,140.0,35.525880999,2
mp-1849,Mn2P,0.0,0.0,6.7747396077434665,103.57003898873002,Hexagonal,"Mn, P",20.0,1.87,120.0,42.955902999,2
mp-21167,Ni2P,0.002234260314008,0.0,7.553723583612449,97.84254338278858,Hexagonal,"Ni, P",21.5,2.05,117.5,44.833580999,2
mp-96,S,0.000947845625001,2.748,1.8948374962445031,899.2042490263103,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-556269,S,0.031339838715279,2.3783,1.951096882146262,1964.870823542651,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-557488,S,0.012285684965277,2.4187,1.9296226153023,993.3686792517286,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-557559,S,0.030134763973215,2.496299999999999,1.9967415772703832,746.6490425344975,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-583072,S,0.026070752379808,2.4672,1.891140539338963,2928.126783960359,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-83,S,0.028929664687501,2.5729,1.995403131603992,1494.2997364741343,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-7,S,0.051236192187499,2.1651,2.090794644321832,152.79889506945906,Trigonal,S,16.0,2.58,100.0,32.06,1
mp-557031,S,0.0336984834375,2.0442,1.9948892690195832,854.1055156784778,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-557376,S,0.026719425187501,2.1627,1.928605736673433,552.1624687973816,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-555760,S,0.029379828298612,2.2718,2.054793093048255,233.2140733904172,Trigonal,S,16.0,2.58,100.0,32.06,1
mp-555915,S,0.013625012604167,2.574799999999999,1.950386762598011,1965.586216616651,Orthorhombic,S,16.0,2.58,100.0,32.06,1
mp-561513,S,0.018545667901785,2.4646,1.866915008707064,798.5715364141056,Triclinic,S,16.0,2.58,100.0,32.06,1
mp-561370,S,0.027740434687499,2.4117,1.888966053151486,2480.4978859920143,Orthorhombic,S,16.0,2.58,100.0,32.06,1
mp-1196831,S,0.010508632,2.3162000000000003,1.650829825410852,2580.287049595476,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-1977409,S,0.0063238905625,2.5977,1.930321848917389,2206.6863212383805,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-557869,S,0.0003716303125,2.3843,1.8882349578149424,1353.5227071072102,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-666931,S,0.0207263703125,2.603399999999999,1.4696555619989131,1159.350511707649,Monoclinic,S,16.0,2.58,100.0,32.06,1
mp-558014,S,0.010299026770834,2.1763,1.9221986817008632,664.8035179939542,Orthorhombic,S,16.0,2.58,100.0,32.06,1
mp-558964,S,0.013946019062501,2.5982000000000003,1.8680217915497672,2280.281118166013,Orthorhombic,S,16.0,2.58,100.0,32.06,1
mp-77,S,0.0,2.5807,1.9196195297959864,887.5956414230244,Orthorhombic,S,16.0,2.58,100.0,32.06,1
mp-994911,S,0.0421966871875,3.3265,0.073554033428319,5791.136965649507,Tetragonal,S,16.0,2.58,100.0,32.06,1
mp-1195198,H3S,0.010304153125,4.3472,1.041383987350392,447.6070853299238,Triclinic,"H, S",8.5,2.39,62.5,16.534000000000002,2
mp-32868,Ag2S,0.057333213888888,0.6242999999999991,6.338404497074927,194.75748462317284,Triclinic,"Ag, S",31.5,2.255,130.0,69.9641,2
mp-33024,H2S,0.008091198749999,4.0901,1.228520214773911,184.26276420537872,Triclinic,"H, S",8.5,2.39,62.5,16.534000000000002,2
mp-723352,Li2S,0.081990143030304,1.9206999999999992,1.6511715701994891,508.2843531047319,Triclinic,"Li, S",9.5,1.78,122.5,19.5,2
mp-1078696,PbS,0.0826696325,0.7479999999999991,6.490216639031639,244.8663284246417,Monoclinic,"Pb, S",49.0,2.19,140.0,119.63,2
mp-1087486,PbS,0.081897287499999,1.223799999999999,6.288228057126069,252.73185142819543,Monoclinic,"Pb, S",49.0,2.19,140.0,119.63,2
mp-2025704,Ag2S,0.013338436666664,1.0891,6.046580348456434,136.10466800899007,Monoclinic,"Ag, S",31.5,2.255,130.0,69.9641,2
